CO2,PIR_TRIGGER
294.002,0
296.641,0
293.086,0
292.591,0
294.477,0
296.429,0
298.1,0
295.94,0
288.666,0
290.29,0
285.304,0
293.754,0
292.712,0
293.707,0
295.453,0
299.033,0
296.123,0
298.815,0
299.647,0
291.64,0
291.821,0
294.679,0
295.381,0
291.255,0
293.675,0
289.123,0
291.661,0
295.949,0
293.987,0
295.378,0
295.583,0
293.318,0
297.214,0
295.084,0
296.37,0
294.136,0
292.644,0
291.498,0
289.978,0
295.005,0
291.22,0
286.044,0
284.649,0
283.471,0
290.002,0
290.379,0
288.717,0
291.982,0
287.706,0
284.153,0
282.865,0
283.149,0
287.471,0
291.503,0
291.683,0
288.931,0
290.888,0
292.676,0
295.439,0
295.943,0
296.156,0
293.191,0
292.432,0
292.784,0
290.282,0
294.087,0
290.66,0
290.664,0
284.873,0
281.886,0
284.395,0
282.956,0
279.096,0
278.195,0
278.735,0
277.588,0
282.395,0
283.119,0
284.272,0
276.081,0
273.987,0
277.723,0
276.938,0
274.823,0
276.088,0
274.088,0
274.28,0
276.504,0
277.25,0
275.608,0
265.475,0
268.079,0
271.907,0
272.187,0
269.65,0
270.459,0
272.95,0
271.158,0
270.597,0
276.647,0
279.107,0
283.39,0
278.788,0
272.909,0
274.64,0
274.06,0
275.955,0
276.845,0
278.192,0
276.649,0
277.231,0
275.882,0
273.976,0
275.257,0
280.039,0
280.934,0
282.461,0
278.765,0
276.012,0
277.024,0
274.041,0
270.697,0
272.732,0
278.382,0
275.876,0
276.825,0
276.643,0
278.525,0
278.437,0
277.51,0
273.284,0
277.642,0
274.453,0
278.803,0
275.121,0
273.623,0
270.148,0
273.665,0
270.066,0
270.478,0
271.575,0
268.252,0
269.255,0
275.769,0
275.379,0
277.191,0
281.45,0
280.196,0
281.771,0
277.075,0
274.431,0
275.803,0
274.886,0
276.174,0
276.775,0
274.406,0
275.444,0
274.268,0
277.141,0
273.382,0
273.16,0
270.164,0
268.924,0
270.201,0
271.986,0
272.961,0
273.634,0
276.765,0
280.638,0
277.938,0
278.303,0
283.894,0
284.77,0
281.471,0
283.996,0
280.366,0
277.951,0
277.864,0
281.534,0
279.98,0
280.751,0
278.868,0
279.946,0
282.399,0
284.387,0
285.535,0
282.616,0
284.49,0
273.425,0
271.621,0
267.532,0
269.314,0
268.057,0
270.767,0
273.399,0
277.311,0
275.387,0
275.917,0
273.541,0
271.125,0
277.214,0
276.487,0
277.896,0
278.545,0
273.389,0
278.048,0
275.538,0
275.764,0
278.139,0
278.643,0
275.264,0
273.412,0
275.965,0
272.464,2
270.242,3
275.629,1
277.946,0
282.27,0
279.007,0
279.439,0
278.791,0
281.821,0
283.919,0
285.99,0
285.328,0
286.385,0
282.658,0
288.559,0
290.181,0
292.34,0
290.491,0
287.277,0
286.677,2
291.845,6
298.194,7
307.731,13
456.125,22
503.442,8
663.258,4
704.267,15
784.08,13
832.2,7
874.628,1
986.173,17
1045.484,10
1102.222,4
1172.495,11
1228.373,13
1276.252,8
1344.288,6
1451.451,7
1525.785,11
1559.423,5
1595.532,0
1663.047,2
1726.609,6
1753.733,4
1820.407,4
1848.903,7
1871.883,24
1987.337,22
2390.49,12
2697.394,4
2818.692,10
3104.716,7
3210.702,6
3356.095,3
3547.434,6
3636.215,8
3805.179,5
3962.943,4
3982.773,7
3820.375,7
3549.449,0
3498.364,0
3382.57,0
3268.199,0
3232.922,0
3100.827,0
3039.912,0
2890.492,11
2430.347,8
1814.748,2
1651.351,5
1600.994,3
1789.929,1
1587.131,0
1586.859,0
1490.823,0
1124.299,0
1091.592,0
1078.455,3
1060.487,0
1046.497,7
1070.723,3
1100.312,1
1114.273,3
1135.255,2
1183.023,3
1211.35,5
1189.632,2
1176.415,2
1154.182,3
1167.097,2
1205.761,0
1224.605,0
1219.62,1
1215.362,2
1188.975,0
1148.785,0
1142.432,1
1152.984,1
1141.969,4
1127.682,4
1128.373,0
1129.572,3
1124.819,1
1126.607,2
1098.448,11
1080.351,19
1277.125,10
1323.784,3
1426.067,0
1509.338,5
1580.13,2
1647.504,3
1662.46,1
1683.667,1
1760.782,2
1754.435,2
1757.76,13
1749.246,11
1764.374,7
1805.849,1
1860.54,2
1881.181,1
1882.046,4
1875.569,1
1881.785,3
1893.138,4
1942.486,3
1949.049,4
1950.301,6
1928.714,9
1824.065,7
1714.867,5
1562.388,0
1454.911,0
1340.845,0
1209.304,0
1123.942,0
1055.403,2
892.231,2
921.918,2
889.457,5
727.793,6
775.962,12
845.916,7
1088.391,2
1093.798,0
1169.025,0
1191.334,0
1201.528,1
1223.622,2
1241.909,0
1258.403,0
1285.291,0
1282.647,0
1289.792,1
1311.815,0
1347.849,0
1347.016,0
1366.585,0
1335.864,0
1336.817,0
1344.672,0
1306.421,7
1225.232,0
1187.955,0
1052.278,0
938.972,0
866.936,0
806.981,0
723.882,0
669.288,0
414.103,0
412.01,0
405.377,0
405.104,0
407.535,0
403.665,0
402.09,0
396.889,0
393.053,0
391.886,0
391.297,0
386.555,0
387.382,0
392.503,0
377.067,0
364.083,0
366.993,0
360.232,0
363.37,0
366.082,0
365.353,0
370.115,0
370.712,0
373.026,0
374.423,0
376.356,0
377.624,0
373.778,0
367.631,0
366.809,0
369.81,0
361.876,0
357.606,0
360.779,0
357.711,0
353.0,0
356.813,0
360.634,0
359.497,0
355.335,0
354.101,0
348.194,0
348.928,0
345.596,0
348.695,0
345.366,0
343.182,0
340.926,0
341.398,0
342.863,0
339.867,0
342.091,0
342.52,0
341.714,0
342.404,0
338.799,0
336.745,0
336.19,0
333.392,0
337.358,0
335.839,0
330.029,0
323.926,0
329.868,0
325.604,0
331.147,0
329.168,0
325.912,0
323.974,3
325.566,0
328.475,0
327.246,0
325.673,3
329.519,1
333.698,17
336.922,8
338.199,1
332.352,0
324.494,2
331.748,0
331.195,0
325.221,0
323.841,0
320.506,0
318.746,0
321.656,0
324.009,0
326.168,0
332.486,0
338.235,0
334.715,2
335.838,3
335.551,11
335.589,18
378.424,8
508.836,23
562.202,27
563.591,23
579.242,21
627.844,24
671.185,18
673.406,19
676.873,28
682.833,23
686.982,20
705.12,19
790.652,15
772.038,23
701.703,22
694.827,13
697.544,16
699.739,20
700.971,23
702.933,17
719.186,19
726.345,18
751.981,19
746.527,19
921.285,15
1156.098,7
1230.912,0
1328.25,4
1421.139,0
1450.433,3
1494.397,1
1544.5,0
1569.268,1
1625.665,0
1674.877,0
1619.634,21
1364.915,14
1328.516,5
1174.086,13
1026.118,4
992.006,2
913.03,8
849.761,5
756.892,4
721.165,10
716.027,15
692.101,13
708.018,13
830.793,17
787.742,10
821.828,5
875.664,9
909.97,10
912.334,8
941.248,9
1020.093,11
1016.047,9
1026.649,16
1033.336,8
1028.865,3
996.457,20
724.414,12
666.139,8
715.22,13
610.54,13
630.349,11
622.287,9
634.195,9
623.788,6
621.549,9
625.915,6
695.389,13
694.32,13
695.827,16
695.176,13
698.947,17
745.298,12
883.932,10
924.421,11
922.056,16
973.148,9
1026.718,19
1064.902,15
1130.305,13
1058.855,12
839.986,1
683.265,5
614.212,3
583.521,0
552.472,0
527.444,0
524.268,0
514.905,0
502.966,0
466.43,0
432.257,0
417.448,0
403.374,3
399.553,2
390.024,0
382.538,0
374.621,0
362.159,0
354.872,0
348.276,0
346.741,0
335.75,0
330.147,0
329.218,0
329.745,0
327.979,0
329.598,0
327.882,0
326.355,0
321.799,0
318.132,0
319.327,0
318.439,0
315.585,0
315.874,0
313.942,0
311.928,0
313.798,0
309.437,0
310.401,0
312.768,0
315.367,0
312.355,0
312.891,0
315.0,0
320.002,3
315.561,0
313.358,0
314.362,0
315.775,0
316.852,0
317.468,0
314.037,0
314.186,0
307.084,0
308.219,0
307.394,0
307.163,0
308.478,0
304.622,0
305.393,0
302.91,0
303.438,0
309.271,0
313.3,0
316.652,0
318.258,0
320.385,0
317.175,0
316.484,0
309.74,0
306.818,0
302.351,0
303.723,0
308.137,0
308.258,0
309.645,0
310.779,0
309.629,0
306.591,0
303.543,0
301.289,0
302.56,0
299.8,0
299.625,0
314.399,0
316.47,0
313.59,0
316.229,0
318.532,0
312.81,0
313.115,0
312.889,0
313.925,0
310.262,0
311.353,0
310.594,0
308.455,0
307.129,0
311.425,0
1293.472,12
1454.729,13
1561.786,9
1622.125,11
1667.792,15
1808.728,14
1885.428,13
2013.94,18
2129.365,14
2212.59,20
2262.181,18
2339.22,10
2496.305,10
2516.904,20
2563.736,21
2666.577,17
2726.416,18
2628.568,13
2045.496,11
2299.979,15
2143.566,1
1832.35,0
2005.804,4
1779.79,2
1728.37,1
1793.626,0
1755.597,2
1739.235,1
1678.345,3
1669.889,3
1657.349,0
1666.736,6
1406.375,0
1392.051,0
1355.452,3
1278.501,1
1173.097,2
1103.319,0
1091.261,1
1082.437,0
1074.626,0
1029.162,0
969.078,0
958.73,0
932.728,0
928.673,0
890.884,0
802.671,0
784.61,0
756.784,0
759.175,2
737.802,0
721.492,0
705.681,11
699.572,2
711.322,4
711.601,2
712.663,1
711.85,0
721.633,0
716.368,0
711.936,0
708.644,0
707.666,0
706.371,0
695.282,6
694.997,0
686.146,0
685.579,3
676.614,1
677.679,4
676.094,1
675.904,0
672.02,8
681.124,17
672.965,5
682.134,18
746.035,21
790.004,20
931.078,21
957.963,19
1048.649,12
1084.098,12
1165.098,16
1221.089,15
1248.684,14
1276.055,23
1313.897,9
1340.392,10
1376.801,21
1382.344,24
1379.379,19
1364.462,0
1352.872,0
1333.958,0
1306.784,0
1302.554,0
1287.152,0
1264.31,0
1252.459,1
1241.6,2
1227.145,11
1220.006,9
1230.837,16
1287.238,11
1486.494,2
1353.676,0
1393.07,0
1415.712,0
1579.688,1
1577.422,0
1600.079,0
1636.547,0
1734.83,0
1964.485,2
1985.698,0
2005.968,0
2078.808,0
2182.918,0
2223.127,0
2259.332,0
2334.771,0
2370.88,2
2406.488,4
2447.144,0
2474.605,0
2539.29,0
2555.527,0
2611.614,1
2574.702,4
2520.005,5
2462.441,2
2445.974,0
2363.399,0
2316.599,0
2254.191,0
2226.617,0
2180.197,0
2024.695,0
1992.847,0
1960.767,0
1946.255,0
1916.297,0
1875.31,0
1750.313,0
1763.244,0
1725.932,0
1716.823,0
1687.896,0
1586.74,0
1580.824,0
1574.009,0
1531.638,0
1523.369,0
1501.544,2
1416.36,0
1403.558,0
1392.655,0
1377.485,0
1373.776,0
1351.398,0
1348.813,0
1328.74,0
1314.641,0
1296.311,0
1289.662,0
1277.34,0
1262.427,0
1241.308,0
1207.639,0
1212.126,0
1193.65,0
1189.795,0
1181.186,0
1173.818,0
1169.863,0
1163.83,0
1160.707,0
1154.664,0
1144.971,0
1134.562,0
1131.144,0
1119.219,0
1114.014,0
1110.769,0
1099.994,0
1090.137,0
1076.59,0
1067.85,0
1062.547,0
1055.065,0
1049.139,0
1044.82,0
1038.423,0
1030.256,0
1025.852,0
1015.974,0
1001.262,0
995.635,0
986.493,0
979.792,0
970.43,0
960.022,0
954.87,0
951.358,0
937.533,0
934.672,0
928.012,0
927.135,0
916.081,0
908.802,0
905.056,0
906.185,0
900.097,0
894.475,0
889.549,0
891.278,0
883.767,0
870.922,0
866.253,0
860.528,0
859.028,0
853.299,0
849.58,0
841.291,0
836.958,0
835.475,0
836.651,0
836.363,0
832.803,0
827.949,0
822.537,0
810.163,0
802.396,0
799.464,0
797.979,0
794.687,0
787.065,0
777.184,0
764.259,0
755.696,0
748.368,0
746.2,0
743.911,0
750.852,0
750.475,0
750.979,0
747.423,0
745.536,0
739.335,0
730.589,0
722.971,0
720.16,0
715.718,0
709.831,0
704.525,0
699.917,0
691.355,0
685.897,0
676.852,15
669.953,13
653.562,10
644.318,2
564.643,1
555.655,0
545.793,0
547.651,0
539.129,0
547.4,0
552.93,0
560.257,0
564.682,0
572.056,0
575.534,0
574.733,0
575.812,0
577.403,2
575.076,0
576.164,0
577.833,1
575.708,3
589.622,5
642.363,11
691.342,17
735.171,22
770.738,22
804.918,1
863.442,25
907.932,26
927.764,0
979.568,17
1004.802,1
1039.556,33
1079.539,23
1124.839,35
1147.578,31
1182.227,21
1254.335,0
1294.109,22
1319.551,12
1339.358,9
1367.853,9
1410.58,12
1427.439,17
1462.6,15
1730.626,0
1801.478,2
1911.199,1
1957.904,3
2004.792,1
2097.622,9
2142.085,1
2279.436,0
2352.222,4
2384.075,1
2408.921,0
2481.916,0
2539.963,0
2576.973,0
2574.674,0
2561.636,6
2468.854,0
2433.407,0
2365.069,9
2324.997,0
2255.079,0
2212.488,0
2190.607,0
2085.925,0
2064.881,2
2050.509,0
2012.305,0
1986.76,0
1945.654,7
1929.442,1
2031.719,5
1766.293,0
1757.646,0
1739.255,0
1718.012,0
1688.638,0
1668.071,2
1643.802,6
1617.888,0
1496.392,0
1486.22,0
1459.244,0
1428.384,0
1401.847,0
1384.486,0
1367.618,0
1354.316,0
1337.456,0
1273.397,0
1249.074,0
1238.862,0
1226.316,0
1201.715,0
1187.85,0
1174.488,0
1144.225,0
1130.163,0
1128.863,0
1128.126,0
1124.064,0
1103.909,0
1094.371,0
1083.061,0
1074.317,0
1066.416,3
1051.889,0
1057.855,0
1058.324,0
1060.157,0
1050.562,0
1046.986,7
1043.921,3
1024.963,0
987.133,0
991.704,0
991.441,0
990.482,0
1002.482,0
985.991,0
985.31,0
990.166,0
980.373,0
971.633,0
970.899,0
962.85,0
943.623,9
942.795,0
934.803,0
938.587,0
932.988,0
926.708,0
877.598,0
869.828,0
865.934,0
861.239,0
848.883,0
845.939,0
838.667,0
824.715,0
812.478,0
806.649,0
791.978,0
780.461,0
765.822,0
767.731,0
762.747,0
752.823,0
747.021,0
741.94,0
736.674,0
733.315,0
723.735,0
722.924,0
719.703,0
720.604,0
722.288,0
718.945,0
713.807,0
707.433,0
697.977,0
626.432,0
618.427,0
613.678,0
615.804,0
605.554,0
594.965,0
591.027,0
592.393,0
592.546,0
589.36,0
590.373,0
590.992,0
585.504,0
572.478,0
568.244,0
565.572,0
564.217,0
558.694,0
562.912,0
561.562,0
559.554,0
560.824,0
559.233,0
557.465,0
557.6,0
555.712,0
555.648,0
552.667,0
548.821,0
545.457,0
542.591,0
542.006,0
537.119,0
530.476,0
531.475,0
532.122,0
531.685,0
526.99,0
524.473,0
524.019,0
521.409,0
515.801,0
516.228,0
513.832,0
511.025,0
508.91,0
504.95,0
503.801,0
503.022,0
497.421,0
492.779,0
490.92,0
491.851,0
486.082,0
482.614,0
485.194,0
482.249,0
480.699,0
479.019,0
478.027,0
475.897,0
467.944,0
465.513,0
463.785,0
460.459,0
457.46,0
460.409,0
458.173,0
456.836,2
452.188,2
447.47,7
434.87,0
436.345,0
436.967,0
436.509,0
433.797,0
433.422,0
440.746,0
442.029,0
439.476,0
435.896,0
437.664,0
439.133,0
437.474,0
428.557,0
423.383,3
419.395,1
422.253,3
423.45,3
450.131,16
535.99,16
684.283,17
828.48,12
993.416,9
1093.279,7
1253.503,6
1388.772,5
1462.096,8
1593.328,1
1727.426,7
1856.324,2
1904.831,5
2021.904,9
2062.383,14
2151.125,7
2261.17,2
2317.023,4
2412.789,3
2507.3,2
2556.645,2
2607.626,4
2676.768,4
2826.79,3
2893.505,3
2878.026,12
892.973,1
890.567,5
890.839,0
888.441,0
881.684,0
871.924,0
870.759,0
868.996,0
861.293,0
852.122,0
853.919,0
849.721,0
845.426,4
828.357,0
813.24,0
806.196,0
793.883,0
790.466,0
790.236,0
794.019,0
797.768,0
798.035,0
790.876,0
791.959,0
785.471,0
781.262,0
776.717,0
772.635,0
768.851,0
758.202,0
755.088,0
750.583,0
744.476,0
749.886,0
738.957,0
728.151,0
725.446,0
722.862,0
715.436,0
713.966,0
713.852,0
713.956,0
711.06,0
701.577,0
689.244,0
682.876,0
682.993,0
673.285,0
663.647,0
664.516,0
658.261,0
649.549,0
645.891,0
641.431,0
861.439,0
862.659,0
872.299,0
871.82,0
864.052,0
853.625,0
830.59,0
827.02,0
817.219,0
819.133,0
816.692,0
811.318,0
795.827,0
790.08,0
791.452,0
782.548,0
777.3,0
770.943,0
766.564,0
764.658,4
759.149,0
753.097,0
747.215,0
729.172,0
712.584,0
710.273,0
705.137,0
703.982,0
701.209,0
689.635,0
690.016,0
692.279,0
685.983,0
684.564,0
690.301,0
691.676,0
683.214,0
676.57,0
671.068,0
671.153,0
671.449,0
670.746,0
671.446,0
664.714,0
660.924,0
661.869,0
660.615,0
659.913,0
654.313,0
647.313,0
650.674,0
650.366,0
648.428,0
647.934,0
645.831,0
644.322,0
648.312,0
641.959,0
641.255,0
641.97,0
636.655,0
628.38,0
624.563,0
621.77,0
617.955,0
619.048,0
618.372,0
609.299,0
603.47,0
594.278,0
586.18,0
585.824,0
585.88,0
591.302,0
591.114,0
587.514,0
582.822,0
577.805,0
582.36,0
587.317,0
582.321,0
575.272,0
572.464,0
568.26,0
563.774,0
561.686,0
562.61,0
561.84,0
557.808,0
556.743,0
555.671,0
555.686,0
553.313,0
548.067,0
551.802,0
549.978,0
547.001,0
544.694,0
543.2,0
543.836,0
539.051,0
532.329,0
534.767,0
537.069,0
539.821,0
535.176,0
529.929,0
522.251,0
516.164,0
517.698,0
512.332,0
511.096,0
513.423,0
511.656,0
508.883,0
509.545,0
503.972,0
498.824,0
500.547,0
496.076,0
496.294,0
494.331,0
490.527,0
491.875,0
497.169,0
492.75,0
491.127,0
490.717,0
485.908,0
483.395,0
486.941,0
485.89,0
481.487,0
477.878,0
477.24,0
474.131,0
474.753,0
473.415,0
473.597,0
467.392,0
468.236,0
470.714,0
469.777,0
468.653,0
465.908,0
456.548,0
462.378,0
460.742,0
456.673,0
451.015,0
444.97,0
445.459,0
434.166,0
425.009,0
424.692,0
421.66,0
418.978,0
414.461,0
411.731,0
417.107,0
418.519,0
418.341,0
423.974,0
421.853,0
421.6,0
421.887,0
418.495,0
418.193,0
412.864,0
409.783,0
405.005,0
394.124,0
394.391,0
398.459,0
391.803,0
396.384,0
388.642,0
387.873,0
389.155,0
386.834,0
380.829,0
373.76,0
378.129,0
373.534,0
369.257,0
361.169,0
357.163,0
352.694,0
347.434,0
345.488,0
342.895,0
338.427,0
336.146,0
335.061,0
335.257,0
331.171,0
329.906,0
325.422,0
329.698,0
323.151,0
326.579,0
324.842,0
322.664,0
316.858,0
314.562,0
316.992,0
312.976,0
311.057,0
310.024,0
309.059,0
309.733,0
307.659,0
308.08,0
308.682,0
307.061,0
304.006,0
308.031,0
308.145,0
305.14,0
305.122,0
312.468,0
312.947,0
317.357,0
320.208,0
321.954,0
323.114,0
320.802,0
317.021,0
318.493,0
315.987,0
319.484,0
319.386,0
320.215,0
317.728,0
320.01,0
321.888,0
322.429,0
325.28,0
326.246,0
319.813,0
333.633,0
328.436,0
321.758,0
323.236,0
321.94,0
317.507,0
313.173,0
320.871,0
311.758,0
313.045,0
319.798,0
320.228,0
313.249,0
317.688,0
314.627,0
322.367,0
316.406,0
315.611,0
316.793,0
312.307,0
312.032,0
310.801,0
311.054,0
308.875,0
308.289,0
307.068,0
309.507,0
307.348,0
305.474,0
299.731,0
302.858,0
299.449,0
298.57,0
296.998,0
301.801,0
299.182,0
302.452,0
310.126,0
308.451,0
308.048,0
310.722,0
318.431,0
317.341,0
313.836,0
312.585,0
312.005,0
310.454,0
308.64,0
309.713,0
305.797,0
303.115,0
304.951,0
306.637,0
304.441,0
302.829,0
302.276,0
306.044,0
308.279,0
312.223,0
313.055,0
311.255,0
309.585,0
312.849,0
314.94,0
317.27,0
318.05,0
314.173,0
309.255,0
303.487,0
305.133,0
306.642,0
303.748,0
304.076,0
302.781,0
301.885,0
299.563,0
300.762,0
297.787,0
297.894,0
297.39,0
296.877,0
298.008,0
299.632,0
300.828,0
299.772,0
299.635,0
298.505,0
302.147,0
308.304,0
311.139,0
308.507,0
306.602,0
305.102,0
304.241,0
299.034,0
304.268,0
300.426,0
291.881,0
291.524,0
293.367,0
293.236,0
289.729,0
286.656,0
285.82,0
279.936,0
283.681,0
285.075,0
287.008,0
289.036,0
286.51,0
288.492,0
283.291,0
277.791,0
278.934,0
278.337,0
279.119,0
280.774,0
275.806,0
277.609,0
276.282,0
272.183,0
274.58,0
273.369,0
272.957,0
274.451,0
275.351,0
277.088,0
274.663,0
279.122,0
279.278,0
275.339,0
275.332,0
274.662,0
269.743,0
272.423,0
270.818,0
269.281,0
276.844,0
273.209,0
267.32,0
267.477,0
266.995,0
270.565,0
272.784,0
272.304,0
272.82,0
273.699,0
267.977,0
269.771,0
270.602,0
271.757,0
272.072,0
275.89,0
279.139,0
274.643,0
277.466,0
278.082,0
276.788,0
277.198,0
274.477,0
270.867,0
271.572,0
271.894,0
271.862,0
266.551,0
265.332,0
264.493,0
260.06,0
260.049,0
263.594,0
263.371,0
272.653,0
267.708,0
270.451,0
268.832,0
267.563,0
269.26,0
268.816,0
273.759,2
276.188,16
290.708,7
305.75,0
297.076,0
294.388,0
295.867,0
296.009,0
294.908,0
287.132,0
284.261,0
282.683,0
280.088,0
281.665,0
281.02,0
285.709,0
282.929,0
280.726,0
286.066,0
284.046,2
285.957,4
291.641,4
310.623,9
438.165,8
603.608,6
645.094,1
773.101,1
859.955,0
934.033,0
992.047,0
1064.103,0
1151.976,0
1234.234,2
1300.092,0
1297.991,14
1349.888,7
1424.46,0
1482.469,0
1561.093,0
1597.533,0
1643.627,0
1719.993,0
1776.786,0
1816.354,2
1828.806,0
1807.018,17
1809.721,18
2058.072,20
2101.279,3
1865.908,0
1877.605,2
1843.399,3
1770.654,1
1878.664,5
1994.352,3
2138.343,0
2136.032,3
1814.842,8
1853.773,6
1767.557,9
1295.985,0
1398.796,0
1363.042,0
1154.539,2
974.133,0
961.661,0
831.509,0
822.593,0
734.599,2
633.039,3
598.665,14
594.054,13
672.293,4
685.367,7
699.469,0
730.888,4
763.602,0
797.583,4
804.616,0
789.05,2
786.094,12
820.951,5
850.927,5
869.26,7
905.723,6
934.999,3
943.731,5
991.688,1
1000.406,1
1003.209,1
1016.025,2
1024.305,1
1018.744,14
986.434,0
826.499,0
798.959,0
685.186,1
590.015,0
548.956,0
527.988,0
464.839,0
468.441,0
450.38,0
428.493,1
438.386,13
469.096,12
692.012,20
815.693,5
942.689,4
983.308,1
1124.634,1
1184.885,2
1196.494,4
1274.374,3
1330.871,4
1344.141,1
1356.251,4
1356.443,15
1338.475,11
1351.323,3
1348.861,0
1365.506,0
1394.852,0
1406.815,1
1416.913,3
1411.04,5
1414.294,0
1426.773,1
1416.512,0
1244.865,13
1059.025,3
968.642,3
848.978,5
677.598,0
669.579,0
616.824,0
580.36,0
509.85,0
458.963,0
452.758,0
440.735,6
435.765,10
441.414,7
458.818,3
531.633,4
613.45,1
662.96,1
686.937,1
722.155,0
754.475,0
777.656,0
803.288,2
813.543,1
826.91,0
858.85,0
896.602,0
887.656,0
890.533,0
893.712,0
909.382,0
909.583,1
913.979,0
917.742,0
919.713,1
914.085,0
806.079,8
660.267,0
584.141,0
531.155,0
458.938,0
449.27,0
428.362,0
438.196,3
368.089,0
362.151,0
363.776,0
356.726,0
354.105,0
352.094,0
346.929,0
327.21,0
332.64,0
328.34,0
326.588,0
324.628,0
316.714,0
316.674,0
315.195,0
313.591,0
307.972,0
298.561,0
298.713,0
297.783,0
298.967,0
300.492,0
298.164,0
295.826,0
290.276,0
288.525,0
286.608,0
286.138,0
288.035,0
285.679,0
283.928,0
284.378,0
284.606,0
285.701,0
